experiment_id,sentence,pattern,backend_label,noise_kind,noise_level,expected_indices,top_indices,overlap,success_prob
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-depolarizing-low,depolarizing,low,"21,24,30,64","30,31,54,62",1,0.038086
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-depolarizing-medium,depolarizing,medium,"21,24,30,64","55,69,72,94",0,0.031738
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-depolarizing-high,depolarizing,high,"21,24,30,64","55,69,72,94",0,0.031738
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-depolarizing-very-high,depolarizing,very-high,"21,24,30,64","55,69,72,94",0,0.031738
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-combined-ultra-low,combined,ultra-low,"21,24,30,64","21,24,30,64",4,0.338379
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-combined-low,combined,low,"21,24,30,64","51,55,108,119",0,0.026367
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-combined-medium,combined,medium,"21,24,30,64","5,15,47,51",0,0.033691
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-combined-high,combined,high,"21,24,30,64","5,22,33,45",0,0.033691
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-combined-very-high,combined,very-high,"21,24,30,64","0,4,16,38",0,0.036621
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,noisy-sim-ibm_fez,backend_noise,ibm_fez,"21,24,30,64","51,52,56,106",0,0.033691
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,noisy-sim-ibm_torino,backend_noise,ibm_torino,"21,24,30,64","54,70,107,118",0,0.034180
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,ideal-simulator,ideal,none,27,27,1,0.995117
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-amplitude-ultra-low,amplitude,ultra-low,27,27,1,0.720215
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-amplitude-low,amplitude,low,27,27,1,0.049805
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-amplitude-medium,amplitude,medium,27,100,0,0.003906
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-amplitude-high,amplitude,high,27,68,0,0.001953
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-amplitude-very-high,amplitude,very-high,27,64,0,0.003906
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-phase-ultra-low,phase,ultra-low,27,27,1,0.886230
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-phase-low,phase,low,27,27,1,0.305176
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-phase-medium,phase,medium,27,31,0,0.010254
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-phase-high,phase,high,27,54,0,0.006348
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-phase-very-high,phase,very-high,27,55,0,0.005371
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-depolarizing-ultra-low,depolarizing,ultra-low,27,27,1,0.719238
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-depolarizing-low,depolarizing,low,27,27,1,0.053223
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-depolarizing-medium,depolarizing,medium,27,55,0,0.005371
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-depolarizing-high,depolarizing,high,27,55,0,0.005371
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-depolarizing-very-high,depolarizing,very-high,27,55,0,0.005371
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-combined-ultra-low,combined,ultra-low,27,27,1,0.485352
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-combined-low,combined,low,27,76,0,0.005371
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-combined-medium,combined,medium,27,68,0,0.004395
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-combined-high,combined,high,27,56,0,0.007812
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,simulator-combined-very-high,combined,very-high,27,40,0,0.006836
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,noisy-sim-ibm_fez,backend_noise,ibm_fez,27,27,1,0.016113
7,sergio resolveu estudar algoritmos enquanto fazia um cafe bem forte,ori,noisy-sim-ibm_torino,backend_noise,ibm_torino,27,27,1,0.031250
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,ideal-simulator,ideal,none,38,38,1,0.996094
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-amplitude-ultra-low,amplitude,ultra-low,38,38,1,0.850586
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-amplitude-low,amplitude,low,38,38,1,0.199707
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-amplitude-medium,amplitude,medium,38,25,0,0.006836
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-amplitude-high,amplitude,high,38,25,0,0.006348
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-amplitude-very-high,amplitude,very-high,38,8,0,0.011230
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-phase-ultra-low,phase,ultra-low,38,38,1,0.934570
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-phase-low,phase,low,38,38,1,0.534180
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-phase-medium,phase,medium,38,38,1,0.070801
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-phase-high,phase,high,38,30,0,0.017090
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-phase-very-high,phase,very-high,38,27,0,0.015625
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-depolarizing-ultra-low,depolarizing,ultra-low,38,38,1,0.843750
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-depolarizing-low,depolarizing,low,38,38,1,0.197754
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-depolarizing-medium,depolarizing,medium,38,27,0,0.015625
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-depolarizing-high,depolarizing,high,38,27,0,0.015625
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-depolarizing-very-high,depolarizing,very-high,38,27,0,0.015625
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-combined-ultra-low,combined,ultra-low,38,38,1,0.681641
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-combined-low,combined,low,38,38,1,0.028809
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-combined-medium,combined,medium,38,17,0,0.011719
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-combined-high,combined,high,38,16,0,0.011230
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,simulator-combined-very-high,combined,very-high,38,19,0,0.015137
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,noisy-sim-ibm_fez,backend_noise,ibm_fez,38,38,1,0.050781
8,fernando caminhava pelo parque quando encontrou um cachorro perdido,encontrou,noisy-sim-ibm_torino,backend_noise,ibm_torino,38,38,1,0.158691
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,ideal-simulator,ideal,none,0,0,1,0.996094
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-amplitude-ultra-low,amplitude,ultra-low,0,0,1,0.851074
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-amplitude-low,amplitude,low,0,0,1,0.192383
